name,address,headyDay,lawsonsDay,headyCases,lawsonsCases,hoursOpen,type,heady,lawsons,lon,lat
E Warren Community Market,"42 Roxbury Mtn Rd, Warren, VT",Tuesday,Thursday,FALSE,,,store,TRUE,TRUE,-72.819168,44.108814
Edelweiss Mountain Deli,"2251 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.7207352,44.4763908
El Cortijo,"189 Bank St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2119985,44.4780711
El Gato,"169 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2127203,44.4754704
Essex Discount Beverage,"76 Center Rd, Essex, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.068939,44.510979
Fairground Beverage,"103 Pearl St (Rte 15), Essex, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.1112433,44.4905054
Finnigan's Pub,"205 College St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.211688,44.476999
Gracie's Liquor,"26 Hinesburg Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.170796,44.466248
Gracies,"18 Edson Hill Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.728531,44.489101
Green Mountain Inn,"18 Main St, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6871145,44.4651924
Green Top Market,"639 Morristown Corners, Morrisville, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.6242852,44.5572217
Guild Tavern,"1633 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.159698,44.4634308
Gusto's,"28 Prospect St, Barre, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5026612,44.1963718
Halvorson's,"16 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2125949,44.480015
Harrisons Restaurant,"25 Main St, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6869164,44.4656034
Harvest Market,"1031 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.699036,44.473717
Healthy Living,"222 Dorset St, S Burlington, VT",Monday,Wednesday,FALSE,,,store,TRUE,TRUE,-73.1797814,44.4627697
Hen Of The Wood,"92 Stowe St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7481727,44.3421166
Hen Of The Wood,"55 Cherry St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2173644,44.4791015
Henry St Deli,"11 Henry St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2053318,44.4841102
Higher Ground,"1214 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.17564,44.468887
Hostel Tevere,"203 Powderhound Rd, Warren, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8479686,44.1341633
Hunger Mountain Coop,"623 Stone Cutters Way, Montpelier, VT",Thursday,Thursday,TRUE,,,store,TRUE,TRUE,-72.571691,44.253137
Hyde Away,"1428 Millbrook Rd, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8706256,44.1839474
Ice House,"171 Battery St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.218936,44.4748019
Irasville Country Store,"5134 Main St, Waitsfield, VT",Tuesday,Tuesday,FALSE,,,store,TRUE,TRUE,-72.8366195,44.1841879
Jericho Country Store,"25 Jercho Center Circle, Jericho, VT",Tuesday,,FALSE,,,store,TRUE,FALSE,-72.973332,44.469935
Jp's Pub,"139 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.213526,44.475749
Juniper Bar,"41 Cherry St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2167318,44.4791612
Ken's Pizza,"71 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212838,44.478413
Kismet,"52 State St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5769755,44.2602485
Leunigs Bistro,"115 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2127579,44.477213
Logans,"30 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2183908,44.4761392
Mad River Barn,"2849 Millbrook Rd, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.891464,44.195534
Mad Taco (Montpelier),"72 Main St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5756909,44.2599238
Mad Taco (Waitsfield),"5101 Main St, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8357186,44.1847992
Made Inn Vermont,"204 S Willard St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2049986,44.4745586
Manhattan Pizza,"167 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2126734,44.475717
Maplewood Convenience Store,"370 S Barre Rd, South Barre, VT",Monday,,FALSE,,,store,TRUE,FALSE,-72.504242,44.177324
Marriot Courtyard,"25 Cherry St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2186363,44.4789144
Maxi's,"47 N Main St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7595232,44.3418928
Mcgillicuddy's (Montpelier),"14 Langdon St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5755412,44.2606036
Mcgillicuddy's (Williston),"28 Walnut St, Williston, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.109501,44.445164
Mckee Pub And Grill,"19 E Allen St, Winooski, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.185717,44.49153
Mehurons Market,"5121 Main St #6, Waitsfield, VT",Tuesday,Tuesday,FALSE,,,store,TRUE,TRUE,-72.835343,44.184158
Mexicali Grill & Cantina,"28 Walnut St, Williston, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.109501,44.445164
Mi Casa,"128 Main St, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6848906,44.4650408
Michael's On The Hill,"4182 Waterbury-Stowe Rd, Waterbury, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.718437,44.389839
Mill Market & Deli,"1580 Dorset St, S Burlington, VT",Monday,,FALSE,,,store,TRUE,FALSE,-73.173237,44.4232609
Mint Restaurant & Tea Lounge,"4403 Main St, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.82444,44.189884
Misery Loves Company,"46 Main St, Winooski, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.186716,44.491015
Mister Z's,"279 N Main St, Barre, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5050606,44.2002301
Monkey House,"30 Main St, Winooski, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.1866749,44.4905199
Montpelier Discount Beverage,"12 Main St, Montpelier, VT",Thursday,,FALSE,,,store,TRUE,FALSE,-72.576887,44.258835
Montpelier Mobil,"3 Berlin St, Montpelier, VT",Thursday,,FALSE,,,store,TRUE,FALSE,-72.577799,44.2571739
Montpelier Village Pizza,"89 Main St #5, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.574718,44.260181
Monty's Tavern,"7921 Williston Rd, Williston, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.072281,44.438766
Mountain Cheese & Wine,"1799 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.711986,44.473504
Mr Mike's Pizza,"206 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.211257,44.476183
Mule Bar,"38 Main St, Winooski, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.1867255,44.4906437
Mutha Stuffers,"Sugarbush Village, Warren, VT",Tuesday,,FALSE,,,store,TRUE,FALSE,-72.9067438,44.1374954
My Little Cupcake,"217 College St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2112693,44.477002
Natural Provisions,"329 Harvest Lane, Williston, VT",Wednesday,Thursday,FALSE,,,store,TRUE,TRUE,-73.1150142,44.4481678
Nectar's,"188 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2117118,44.4761318
Nutty Steph's,"961 Us Rte 2, Middlesex, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.690063,44.301167
O'Grady's,"504 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.688583,44.472282
Park Place Tavern,"38 Park St, Essex, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.1123398,44.487884
Pascolo,"83 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212836,44.478004
Pearl St Beverage,"240 Pearl St, Burlington, VT",Tuesday,Wednesday,FALSE,,,store,TRUE,TRUE,-73.209159,44.4807599
Penny Cluse Cafe,"169 Cherry St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2113165,44.479229
Phoenix,"1652 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.709462,44.473442
Pickwick's,"433 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.688576,44.4715459
Piecasso (Stowe),"1899 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.7147689,44.4738601
Pine St Deli,"316 Flynn Ave, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.213938,44.455683
Pine Tree Pub,"7508 Sugarbush Village, Warren, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8923782,44.1400554
Pizza Barrio,"197 N Winooski Ave, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2105937,44.4858625
Pizzeria Verita,"156 St Paul St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2136433,44.4751889
Plate,"91 Main St, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6856338,44.465569
Positive Pie (Montpelier),"22 State St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5763506,44.2601273
Quarry Grill And Bar,"210 N Main St, Barre, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5036795,44.1988859
Radio Bean,"8 N Winooski Ave, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2109671,44.480845
Red Hen Bakery,"961 Us Rte 2, Middlesex, VT",Monday,Thursday,FALSE,,,eatery,TRUE,TRUE,-72.690063,44.301167
Revolution Kitchen,"9 Center St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2116708,44.4779268
Ri Ra's Irish Pub,"123 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212812,44.476857
Richmond Beverage,"56 Railroad St, Richmond, VT",Tuesday,Friday,FALSE,,,store,TRUE,TRUE,-72.9951277,44.4044763
Richmond Mobil Mart,"1436 W Main St, Richmond, VT",Tuesday,,FALSE,,,store,TRUE,FALSE,-73.00576,44.422421
Rimrocks Mountain Tavern,"394 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.686562,44.470852
River House At Stowe Inn,"123 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6889824,44.4668734
Rotisserie Restaurant,"1355 Williston Rd, Williston, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.0559051,44.454893
Route 7 Liquor,"2659 Shelburne Rd, Shelburne, VT",Monday,,TRUE,,,store,TRUE,FALSE,-73.2126309,44.4166707
Ruben James,"159 Main St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2128549,44.4756912
Sammy's Quick Stop,"264 Malletts Bay Ave, Winooski, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.1951148,44.4972917
Sarducci's,"3 Main St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5765937,44.2577002
Shelburne Meat Market,"2989 Shelburne Rd, Shelburne, VT",Monday,,FALSE,,,store,TRUE,FALSE,-73.213783,44.412483
Shelburne Meat Market,"40 Tafts Corner, Williston, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.109133,44.451031
Shelburne Rd Variety,"1855 Shelburne Rd, Shelburne, VT",Monday,,FALSE,,,store,TRUE,FALSE,-73.212672,44.421317
Sherpa Kitchen,"119 College St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.215083,44.476826
Simons Shelburne Rd,"974 Shelburne Rd, Shelburne, VT",Monday,,FALSE,,,store,TRUE,FALSE,-73.209174,44.442106
Skinny Pancake (Airport),"Burlington International Airport, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.1516037,44.4706939
Skinny Pancake (Burlington),"60 Lake St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2197283,44.4777072
Skinny Pancake (Montpelier),"89 Main St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.574545,44.260344
Stagecoach Inn,"18 N Main St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.757789,44.338709
Stowe Beverage,"1880 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.714417,44.474682
Stowe Cinema,"454 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6870556,44.4713796
Stowe Quick Mart,"745 Main St, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.694229,44.456371
Stowe Seafood,"504 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.688583,44.472282
Stoweflake,"1746 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.7118583,44.4741928
Stowehof,"434 Edson Hill, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.72583,44.494583
Sunflower Natural Foods,"2934 Waterbury-Stowe Rd, Waterbury, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.7192354,44.4257915
Sunset Grill,"140 Cottage Club Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.715645,44.477112
Sushi Yoshi,"1128 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.7010279,44.475055
Sweet Clover Market,"21 Essex Way, Essex, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.0813375,44.5075489
Sweetwaters,"120 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2123078,44.4769177
Tanglewoods Restaurant,"179 Guptil Rd, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.73214,44.355286
The Elusive Moose,"6163 Main St, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.832031,44.172085
The Essex,"70 Essex Way, Essex, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.078514,44.501606
The Farmhouse Tap And Grill,"160 Bank St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.213305,44.478403
The Inn At The Round Barn,"1661 E Warren Rd, Warren, VT",Tuesday,,FALSE,,,store,TRUE,FALSE,-72.8114782,44.1677428
The Mounted Cat,"60 Battery St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2180108,44.4780812
The Other Place,"4 N Winooski Ave, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.211212,44.480712
The Pizza Joint,"383 Moscow Rd, Stowe, Vt, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.7149486,44.440289
The Prohibition Pig,"23 S Main St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7560944,44.3371394
The Reservoir,"1 S Main St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7566653,44.3376411
The Scuffer,"148 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212295,44.476324
The Shopping Bag,"166 North St, Burlington, VT",Thursday,,FALSE,,,store,TRUE,FALSE,-73.2154168,44.4848522
The Vt Tap House,"70 Marshall Ave, Williston, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.11274,44.444714
Three Penny Taproom,"108 Main St, Montpelier, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5750933,44.2606817
Tomlinson's,"81 Bridge St, Morrisville, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.6000143,44.5632152
Topnotch Resort,"4000 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.7394156,44.4935861
Trattoria Delia,"152 St Paul St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2136806,44.4754917
Uncommon Market,"1 School St, Montpelier, VT",Monday,Thursday,FALSE,,,store,TRUE,TRUE,-72.5754126,44.2614336
Usave Beverage And Deli,"1332 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.1707256,44.4668226
Village Mobil,"8252 Shelburne Rd, Shelburne, VT",Monday,,FALSE,,,store,TRUE,FALSE,-73.2386324,44.3536111
Vt Ale House,"294 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.6874357,44.4695005
Vt Meat & Seafood,"104 Cornerstone Dr, Williston, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-73.103747,44.446915
Waitsfield Village Grocery,"4348 Main St, Waitsfield, VT",Tuesday,Tuesday,TRUE,,,store,TRUE,TRUE,-72.8241506,44.190785
Waitsfield Wine Shop,"4330 Main St, Waitsfield, VT",Tuesday,Tuesday,FALSE,,,store,TRUE,TRUE,-72.8237989,44.190861
Warren Store,"284 Main St, Warren, VT",Tuesday,Thursday,FALSE,,,store,TRUE,TRUE,-72.856074,44.114498
Waterbury Village Market,"80 S Main St, Waterbury, VT",Wednesday,,FALSE,,,store,TRUE,FALSE,-72.7533854,44.3351355
White Horse Inn,"99 German Flats Rd, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8735815,44.1849256
Windjammer,"1076 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.1788347,44.4694951
Winooski Beverage,"1 East St, Winooski, VT",Tuesday Thursday,,TRUE,,,store,TRUE,FALSE,-73.181831,44.492283
Yankee Wine & Spirits,"126 Main St, Montpelier, VT",Monday,Thursday,FALSE,,,store,TRUE,TRUE,-72.5749079,44.261034
