Name|Address|Delivery Date|Cases Available|Hours Open|Type|Lat|Lng
Henry St Deli|11 Henry St, Burlington, VT|Thursday|False||eatery|44.4841102|-73.2053318
Higher Ground|1214 Williston Rd, Burlington, VT|Thursday|False||eatery|44.468887|-73.17564
Hostel Tevere|203 Powderhound Rd, Warren, VT|Tuesday|False||eatery|44.1341633|-72.8479686
Hunger Mountain Coop|623 Stone Cutters Way, Montpelier, VT|Thursday|True||store|44.253137|-72.571691
Hyde Away|1428 Millbrook Rd, Waitsfield, VT|Tuesday|False||eatery|44.1839474|-72.8706256
Ice House|171 Battery St, Burlington, VT|Thursday|False||eatery|44.4748019|-73.218936
Irasville Country Store|5134 Main St, Waitsfield, VT|Tuesday|False||store|44.1841879|-72.8366195
Jericho Country Store|25 Jercho Center Circle, Jericho, VT|Tuesday|False||store|44.469935|-72.973332
Jp'S Pub|139 Main St, Burlington, VT|Thursday|False||eatery|44.475749|-73.213526
Juniper Bar|41 Cherry St, Burlington, VT|Thursday|False||eatery|44.4791612|-73.2167318
Ken'S Pizza|71 Church St, Burlington, VT|Thursday|False||eatery|44.478413|-73.212838
Kismet|52 State St, Montpelier, VT|Monday|False||eatery|44.2602485|-72.5769755
Leunigs Bistro|115 Church St, Burlington, VT|Thursday|False||eatery|44.477213|-73.2127579
Logans|30 Main St, Burlington, VT|Thursday|False||eatery|44.4761392|-73.2183908
Mad River Barn|2849 Millbrook Rd, Waitsfield, VT|Tuesday|False||eatery|44.195534|-72.891464
Mad Taco (Montpelier)|72 Main St, Montpelier, VT|Monday|False||eatery|44.2599238|-72.5756909
Mad Taco (Waitsfield)|5101 Main St, Waitsfield, VT|Tuesday|False||eatery|44.1847992|-72.8357186
Made Inn Vermont|204 S Willard St, Burlington, VT|Thursday|False||eatery|44.4745586|-73.2049986
Manhattan Pizza|167 Main St, Burlington, VT|Thursday|False||eatery|44.475717|-73.2126734
Maplewood Convenience Store|370 S Barre Rd, South Barre, VT|Monday|False||store|44.177324|-72.504242
Marriot Courtyard|25 Cherry St, Burlington, VT|Thursday|False||eatery|44.4789144|-73.2186363
Maxi'S|47 N Main St, Waterbury, VT|Wednesday|False||eatery|44.3418928|-72.7595232
Mcgillicuddy'S (Montpelier)|14 Langdon St, Montpelier, VT|Monday|False||eatery|44.2606036|-72.5755412
Mcgillicuddy'S (Williston)|28 Walnut St, Williston, VT|Wednesday|False||eatery|44.445164|-73.109501
Mckee Pub And Grill|19 E Allen St, Winooski, VT|Wednesday|False||eatery|44.49153|-73.185717
Mehurons Market|5121 Main St #6, Waitsfield, VT|Tuesday|False||store|42.733284|-75.9548621
Mexicali Grill & Cantina|28 Walnut St, Williston, VT|Wednesday|False||eatery|44.445164|-73.109501
Mi Casa|128 Main St, Stowe, VT|Friday|False||eatery|44.4650408|-72.6848906
Michael'S On The Hill|4182 Waterbury-Stowe Rd, Waterbury, VT|Friday|False||eatery|44.389839|-72.718437
Mill Market & Deli|1580 Dorset St, S Burlington, VT|Monday|False||store|44.4232609|-73.173237
Mint Restaurant & Tea Lounge|4403 Main St, Waitsfield, VT|Tuesday|False||eatery|44.189884|-72.82444
Misery Loves Company|46 Main St, Winooski, VT|Wednesday|False||eatery|44.491015|-73.186716
Mister Z'S|279 N Main St, Barre, VT|Monday|False||eatery|44.2002301|-72.5050606
